price,n_accommodates,n_bathrooms,n_beds,n_guests_included,n_extra_people,n_minimum_nights,n_number_of_reviews,n_review_scores_rating,n_reviews_per_month,n_days_since,p_host_response_rate,f_property_type,f_room_type,f_cancellation_policy,f_bed_type,f_neighbourhood_cleansed,d_hourcheckin,d_airconditioning,d_breakfast,d_buzzerwirelessintercom,d_cabletv,d_carbonmonoxidedetector,d_cats,d_dogs,d_doorman,d_doormanentry,d_dryer,d_elevatorinbuilding,d_essentials,d_familykidfriendly,d_fireextinguisher,d_firstaidkit,d_freeparkingonpremises,d_freeparkingonstreet,d_gym,d_hairdryer,d_hangers,d_heating,d_hottub,d_indoorfireplace,d_internet,d_iron,d_keypad,d_kitchen,d_laptopfriendlyworkspace,d_lockonbedroomdoor,d_lockbox,d_otherpets,d_paidparkingoffpremises,d_petsallowed,d_petsliveonthisproperty,d_pool,d_privateentrance,d_privatelivingroom,d_safetycard,d_selfcheckin,d_shampoo,d_smartlock,d_smokedetector,d_smokingallowed,d_suitableforevents,d_tv,d_washer,d_washerdryer,d_wheelchairaccessible,d_wirelessinternet,neighbourhood_cleansed,property_type,room_type,usd_price_day,usd_cleaning_fee,cancellation_policy,ln_price,n_accommodates2,ln_accommodates,ln_accommodates2,ln_beds,f_bathroom,ln_number_of_reviews,f_number_of_reviews,ln_days_since,ln_days_since2,ln_days_since3,n_days_since2,n_days_since3,ln_review_scores_rating,f_minimum_nights
38,2,1,1,1,0,1,10,92,.88,339,,Apartment,Private room,strict,Real Bed,Hackney,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,Hackney,Apartment,Private room,38.00,,strict,3.6375861,4,.69314718,.48045301,0,1,2.3978953,1,5.8260002,33.94228,197.74773,114921,38958220,4.5217886,1
30,2,3,1,1,5,2,1,100,.18,169,,House,Private room,flexible,Real Bed,Hackney,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,Hackney,House,Private room,30.00,,flexible,3.4011974,4,.69314718,.48045301,0,2,.69314718,1,5.1298985,26.315859,134.99768,28561,4826809,4.6051702,2
110,2,1.5,1,1,0,2,0,,,,,Apartment,Private room,moderate,Real Bed,Hackney,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,Hackney,Apartment,Private room,110.00,,moderate,4.7004805,4,.69314718,.48045301,0,1,0,0,,,,,,,2
190,4,1,2,4,15,2,11,96,.26,1251,67,House,Entire home/apt,flexible,Real Bed,Hackney,0,0,0,0,1,1,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,1,Hackney,House,Entire home/apt,190.00,35,flexible,5.2470241,16,1.3862944,1.9218121,.69314718,1,2.4849067,1,7.1316986,50.861126,362.72623,1565001,1957816192,4.5643482,2
71,6,1,2,1,0,4,0,,,,86,Apartment,Entire home/apt,strict,Real Bed,Hackney,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,1,1,1,0,0,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,1,Hackney,Apartment,Entire home/apt,71.00,,strict,4.2626801,36,1.7917595,3.210402,.69314718,1,0,0,,,,,,,3
115,5,1,2,4,20,3,4,95,.18,656,100,Apartment,Entire home/apt,strict,Real Bed,Hackney,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,Hackney,Apartment,Entire home/apt,115.00,,strict,4.7449322,25,1.6094379,2.5902905,.69314718,1,1.6094379,1,6.4861608,42.070282,272.8746,430336,282300416,4.5538769,3
35,2,1,1,1,0,1,1,100,.52,57,20,House,Private room,flexible,Real Bed,Hackney,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,Hackney,House,Private room,35.00,,flexible,3.5553482,4,.69314718,.48045301,0,1,.69314718,1,4.0430512,16.346264,66.088783,3249,185193,4.6051702,1
45,2,1,1,1,10,1,0,,,,,Apartment,Private room,flexible,Couch,Hackney,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,Hackney,Apartment,Private room,45.00,,flexible,3.8066626,4,.69314718,.48045301,0,1,0,0,,,,,,,1
79,2,1,1,1,0,3,10,92,.85,353,,Apartment,Entire home/apt,strict,Real Bed,Hackney,1,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,1,0,0,1,Hackney,Apartment,Entire home/apt,79.00,48,strict,4.3694477,4,.69314718,.48045301,0,1,2.3978953,1,5.866468,34.415447,201.89711,124609,43986976,4.5217886,3
85,2,1,1,1,0,2,0,,,,100,House,Entire home/apt,flexible,Real Bed,Hackney,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,Hackney,House,Entire home/apt,85.00,20,flexible,4.4426513,4,.69314718,.48045301,0,1,0,0,,,,,,,2
